id;start_date;end_date;language
1;2021-02-23T10:59:23;2021-02-23T08:49:38;SPANISH
2;2021-02-22T15:49:34;2021-02-23T10:53:59;SPANISH
3;2021-02-23T06:44:53;2021-02-22T17:19:02;FRENCH
4;2021-02-22T22:02:24;2021-02-23T09:33:50;FRENCH
5;2021-02-23T07:32:42;2021-02-23T12:19:41;FRENCH
6;2021-02-23T01:25:03;2021-02-23T13:33:17;FRENCH
7;2021-02-23T03:10:23;2021-02-22T21:01:14;FRENCH
8;2021-02-23T02:06:36;2021-02-23T12:22:44;SPANISH
9;2021-02-23T00:47:45;2021-02-22T21:29:08;SPANISH
10;2021-02-23T08:59:49;2021-02-22T19:34:19;SPANISH
